title,author,year,edition,full_description,level,score
Hardcore Programming for Mechanical Engineers,Angel Sola Orbaiceta,2021,,"Look Inside!

 
Download Chapter 4: POINTS AND VECTORS

Check out the book's companion site for important updates and extra material.

What if you could solve challenging engineering problems with Python programming? With this book’s hardcore approach, you’ll learn how to code solutions from scratch using linear algebra, geometry, and physics to write custom libraries, draw primitives, and build applications.
Ángel Sola Orbaiceta covers core programming techniques for mechanical engineers, with a focus on crafting high-quality code and leveraging automated unit testing for error-free implementations. You’ll develop a geometry toolbox, filling it with lines and shapes to diagram engineering problems; create vector graphics and animations for mechanical simulations; and code algorithms to perform complex calculations. As a capstone you’ll combine these lessons to build a complete structural analysis application to solve a 2D truss problem that you might encounter in the field.
Learn how to:

Use regular expressions to elegantly parse file input
Refine your code with unit testing, encapsulation, and descriptive names
Draw images onscreen and create animations with Tkinter’s Canvas widget
Solve systems of linear equations using the Cholesky decomposition algorithm
Build an application that visualizes a truss structure’s stresses and strains

Stop relying on third-party software—there are no shortcuts on the path to proficiency. With Hardcore Programming for Mechanical Engineers, you’ll hone your programming skills to get correct results every time.
",Beginner,0.68
Impractical Python Projects,Lee Vaughan,2018,,"Download Chapter 3: Solving Anagrams
Impractical Python Projects picks up where the complete beginner books leave off, expanding on existing concepts and introducing new tools that you’ll use every day. And to keep things interesting, each project includes a zany twist featuring historical incidents, pop culture references, and literary allusions.
You’ll flex your problem-solving skills and employ Python’s many useful libraries to do things like:

Help James Bond crack a high-tech safe with a hill-climbing algorithm
Write haiku poems using Markov Chain Analysis
Use genetic algorithms to breed a race of gigantic rats
Crack the world’s most successful military cipher using cryptanalysis
Foil corporate security with invisible electronic ink
Derive the anagram, “I am Lord Voldemort” using linguistical sieves
Plan your parents’ secure retirement with Monte Carlo simulation
Save the sorceress Zatanna from a stabby death using palingrams
Model the Milky Way and calculate our odds of detecting alien civilizations
Help the world’s smartest woman win the Monty Hall problem argument
Reveal Jupiter’s Great Red Spot using optical stacking
Save the head of Mary, Queen of Scots with steganography

Simulate volcanoes, map Mars, and more, all while gaining valuable experience using free modules like Tkinter, matplotlib, Cprofile, Pylint, Pygame, Pillow, and Python-Docx.
Whether you’re looking to pick up some new Python skills or just need a pick-me-up, you’ll find endless educational, geeky fun with Impractical Python Projects.
",Beginner,0.64
Invent Your Own Computer Games with Python,Al Sweigart,2016,4th Edition,"
Invent Your Own Computer Games with Python was selected as one of the best books for learning Python by Real Python
“It's a great introduction to Python and a great introduction to building fairly simple but interesting games. The author's not just a talented coder, but a Python maestro. And his programming techniques provide good lessons on how to approach programming tasks.”
—Computerworld
“Games are a great way to engage kids, and Python is a perfect language for them to see immediate results on the screen as they code. Invent Your Own Computer Games with Python should be a hit.”
—GeekDad

Invent Your Own Computer Games with Python will teach you how to make computer games using the popular Python programming language—even if you’ve never programmed before!
Begin by building classic games like Hangman, Guess the Number, and Tic-Tac-Toe, and then work your way up to more advanced games, like a text-based treasure hunting game and an animated collision-dodging game with sound effects. Along the way, you’ll learn key programming and math concepts that will help you take your game programming to the next level.

Learn how to: 

Combine loops, variables, and flow control statements into real working programs
Choose the right data structures for the job, such as lists, dictionaries, and tuples
Add graphics and animation to your games with the pygame module
Handle keyboard and mouse input
Program simple artificial intelligence so you can play against the computer
Use cryptography to convert text messages into secret code
Debug your programs and find common errors

As you work through each game, you’ll build a solid foundation in Python and an understanding of computer science fundamentals.
What new game will you create with the power of Python?
The projects in this book are compatible with Python 3.
",Beginner,0.69
Learn Python Visually,Tristan Bunn,2021,,"Look Inside!

  

Download Chapter 9: FUNCTIONS AND PERIODIC MOTION

The perfect book for first-time programmers, Learn Python Visually introduces the fundamentals of computer coding within a visual, graphics-based context. Tristan Bunn’s creative teaching approach will help you visualize core programming concepts as you make cool pictures, animations, and simulations using Python Mode for the open source Processing development environment.
From the very first chapter, you’ll produce and manipulate colorful designs as Bunn walks you through a series of easy-to-follow graphical coding projects that grow increasingly complex. You’ll progress from drawing with code to animating a bouncing DVD screensaver to creating interactive programs. Along the way, you’ll encounter skill-building challenges on topics as diverse as video games, coffee, fine art, amoebas, and Pink Floyd.
You’ll learn how to:

Apply basic coding theories and concepts, like variables, data types, pixel coordinates, control flow, and algorithms
Write code that produces drawings, patterns, animations, data visualizations, user interfaces, and simulations
Use code to explore randomness, handle CSV and JSON data, and generate animations that employ trigonometry for periodic motion and Lissajous curves
Define functions, reduce repetition, and make your code more modular
Write classes and create objects to structure code more efficiently

If you’ve ever dreamed of coding for data visualizations, computer-generated art, games, or other creative technologies, Learn Python Visually is the entry point you need.
",Beginner,0.85
Learn to Code by Solving Problems,Daniel Zingaro,2021,,"Look Inside!



Download Chapter 2: MAKING DECISIONS
Supplementary resources for the book, including downloadable code and additional exercises available here.
Computers are capable of solving almost any problem when given the right instructions. That’s where programming comes in. This beginner’s book will have you writing Python programs right away. You’ll solve interesting problems drawn from real coding competitions and build your programming skills as you go.
Every chapter presents problems from coding challenge websites, where online judges test your solutions and provide targeted feedback. As you practice using core Python features, functions, and techniques, you’ll develop a clear understanding of data structures, algorithms, and other programming basics. Bonus exercises invite you to explore new concepts on your own, and multiple-choice questions encourage you to think about how each piece of code works.
You’ll learn how to:

Run Python code, work with strings, and use variables
Write programs that make decisions
Make code more efficient with while and for loops
Use Python sets, lists, and dictionaries to organize, sort, and search data
Design programs using functions and top-down design
Create complete-search algorithms and use Big O notation to design more efficient code

By the end of the book, you’ll not only be proficient in Python, but you’ll also understand how to think through problems and tackle them with code. Programming languages come and go, but this book gives you the lasting foundation you need to start thinking like a programmer.
",Beginner,0.85
Learn to Program with Minecraft,Craig Richardson,2015,,"“Learn to Program With Minecraft is 297 pages brimming with potential. It’s an excellent guide for Minecraft players wanting to expand their capabilities in the game and with programming. Highly recommended.""
—GeekDad
“Learn to Program with Minecraft offers an incredibly user-friendly, intuitive, and innovative approach for learning the Python programming language.”
—EE Times


Download Chapter 1: Setting Up for Your Adventure
Download Chapter 7: Dance Parties and Flower Parades with while Loops
Download the setup files for Windows (Minecraft Tools.zip)

Download the setup files for Mac OS (Minecraft Tools Mac.zip)
Download the code used in the book and solutions to the Minecraft Missions
Troubleshooting



You’ve bested creepers, traveled deep into caves, and maybe even gone to The End and back—but have you ever transformed a sword into a magic wand? Built a palace in the blink of an eye? Designed your own color-changing disco dance floor? 
In Learn to Program with Minecraft®, you’ll do all this and more with the power of Python, a free language used by millions of professional and first-time programmers!
Begin with some short, simple Python lessons and then use your new skills to modify Minecraft to produce instant and totally awesome results. Learn how to customize Minecraft to make mini-games, duplicate entire buildings, and turn boring blocks into gold. 
You’ll also write programs that:

Take you on an automated teleportation tour around your Minecraft world
Build massive monuments, pyramids, forests, and more in a snap!
Make secret passageways that open when you activate a hidden switch
Create a spooky ghost town that vanishes and reappears elsewhere
Show exactly where to dig for rare blocks
Cast a spell so that a cascade of flowers (or dynamite if you’re daring!) follows your every move
Make mischief with dastardly lava traps and watery curses that cause huge floods

Whether you’re a Minecraft megafan or a newbie, you’ll see Minecraft in a whole new light while learning the basics of programming. Sure, you could spend all day mining for precious resources or building your mansion by hand, but with the power of Python, those days are over!

Requires: Minecraft Java Edition; Windows 7 or later; OS X 10.10 or later; or a Raspberry Pi.
Click here for details about system requirements.

Uses Python 3
",Beginner,0.67
Make Python Talk,Mark Liu,2021,,"Download Chapter 5: SPEAKING APPLICATIONS
Click here to download the code files used in the book.
Click here to visit the book's github repository to download code and access errata reports.
This fun, hands-on book will take your basic Python skills to the next level as you build voice-controlled apps to use in your daily life. Starting with a Python refresher and an introduction to speech-recognition/text-to-speech functionalities, you’ll soon ease into more advanced topics, like making your own modules and building working voice-controlled apps.
Each chapter scaffolds multiple projects that allow you to see real results from your code at a manageable pace, while end-of-chapter exercises strengthen your understanding of new concepts. You’ll design interactive games, like Connect Four and Tic-Tac-Toe, and create intelligent computer opponents that talk and take commands; you’ll make a real-time language translator, and create voice-activated financial-market apps that track the stocks or cryptocurrencies you are interested in. Finally, you’ll load all of these features into the ultimate virtual personal assistant – a conversational VPA that tells jokes, reads the news, and gives you hands-free control of your email, browser, music player, desktop files, and more.
Along the way, you’ll learn how to:

Build Python modules, implement animations, and integrate live data into an app
Use web-scraping skills for voice-controlling podcasts, videos, and web searches
Fine-tune the speech recognition to accept a variety of input
Associate regular tasks like opening files and accessing the web with speech commands
Integrate functionality from other programs into a single VPA with computational knowledge engines to answer almost any question

Packed with cross-platform code examples to download, practice activities and exercises, and explainer images, you’ll quickly become proficient in Python coding in general and speech recognition/text to speech in particular.
",Beginner,0.64
Math Adventures with Python,Peter Farrell,2019,,"Download Chapter 5: Transforming Shapes with Geometry
Download the code.
Download solutions to exercises.
Math Adventures with Python will show you how to harness the power of programming to keep math relevant and fun. With the aid of the Python programming language, you’ll learn how to visualize solutions to a range of math problems as you use code to explore key mathematical concepts like algebra, trigonometry, matrices, and cellular automata.
Once you’ve learned the programming basics like loops and variables, you’ll write your own programs to solve equations quickly, make cool things like an interactive rainbow grid, and automate tedious tasks like factoring numbers and finding square roots. You’ll learn how to write functions to draw and manipulate shapes, create oscillating sine waves, and solve equations graphically. 
You’ll also learn how to: 

Draw and transform 2D and 3D graphics with matrices
Make colorful designs like the Mandelbrot and Julia sets with complex numbers
Use recursion to create fractals like the Koch snowflake and the Sierpinski triangle
Generate virtual sheep that graze on grass and multiply autonomously
Crack secret codes using genetic algorithms


As you work through the book’s numerous examples and increasingly challenging exercises, you’ll code your own solutions, create beautiful visualizations, and see just how much more fun math can be!
",Intermediate,0.41
Mission Python,Sean McManus,2018,,"Download Chapter 1: Your First Spacewalk
Download the full code, images, and sound effects for the game here
Click here for a list of errata and updates (author site)
Launch into coding with Mission Python, a space-themed guide to building a complete computer game in Python. You'll learn programming fundamentals like loops, strings, and lists as you build Escape!, an exciting game with a map to explore, items to collect, and tricky logic puzzles to solve. As you work through the book, you'll build exercises and mini-projects, like making a spacewalk simulator and creating an astronaut's safety checklist that will put your new Python skills to the test. 
You'll learn how to use Pygame Zero, a free resource that lets you add graphics and sound effects to your creations, and you'll get useful game-making tips, such as how to design fun puzzles and intriguing maps. Before you know it, you'll have a working, awesome game to stump your friends with (and some nifty coding skills, too!). You can follow this book using a Raspberry Pi or a Microsoft Windows PC, and the 3D graphics and sound effects you need are provided as a download.
 
Take a look inside!






",Beginner,0.67
Modeling and Simulation in Python,Allen B. Downey,2023,,"Download Chapter 11: EPIDEMIOLOGY AND SIR MODELS
Look Inside!


Modeling and Simulation in Python is a thorough but easy-to-follow introduction to physical modeling—that is, the art of describing and simulating real-world systems. 
Readers are guided through modeling things like world population growth, infectious disease, bungee jumping, baseball flight trajectories, celestial mechanics, and more while simultaneously developing a strong understanding of fundamental programming concepts like loops, vectors, and functions.
Clear and concise, with a focus on learning by doing, the author spares the reader abstract, theoretical complexities and gets right to hands-on examples that show how to produce useful models and simulations.
",Beginner,0.65
Natural Language Processing with Python and spaCy,Yuli Vasiliev,2020,,"Look Inside!




Download Chapter 2: The Text-Processing Pipeline (PDF)
Download the source code from GitHub


Natural Language Processing with Python and spaCy will show you how to create NLP applications like chatbots, text-condensing scripts, and order-processing tools quickly and easily. You’ll learn how to leverage the spaCy library to extract meaning from text intelligently; how to determine the relationships between words in a sentence (syntactic dependency parsing); identify nouns, verbs, and other parts of speech (part-of-speech tagging); and sort proper nouns into categories like people, organizations, and locations (named entity recognizing). You’ll even learn how to transform statements into questions to keep a conversation going.
You’ll also learn how to: 

 Work with word vectors to mathematically find words with similar meanings (Chapter 5)
 Identify patterns within data using spaCy's built-in displaCy visualizer (Chapter 7)
 Automatically extract keywords from user input and store them in a relational database (Chapter 9)
 Deploy a chatbot app to interact with users over the internet (Chapter 11)


“Try This” sections in each chapter encourage you to practice what you’ve learned by expanding the book’s example scripts to handle a wider range of inputs, add error handling, and build professional-quality applications.
By the end of the book, you’ll be creating your own NLP applications with Python and spaCy.

Check out this video where the author discusses how to extract chatbot user input with Python and spaCy.

",Beginner,0.62
Object-Oriented Python,Irv Kalb,2021,,"Look Inside!
 

Download Chapter 2: MODELING PHYSICAL OBJECTS...

Click here to download the book's code and resources.
Click here to visit the book's github repository.
 Object-Oriented Programming (OOP) is a paradigm that combines data and code into cohesive units, allowing you to think differently about computational problems and solve them in a highly reusable way. Aimed at intermediate-level programmers, Object-Oriented Python is a hands-on tutorial that goes deep into the core tenets of OOP, showing you how to use encapsulation, polymorphism, and inheritance to write games and apps using Python.
The book begins by demonstrating key problems inherent in procedural programming, then guides you through the basics of creating classes and objects in Python. You’ll build on this groundwork by developing buttons, text fields, and other GUI elements that are standard in event-driven environments. You’ll also use many real-world code examples and two pygame-based packages to help turn theory into practice, enabling you to easily write interactive games and applications complete with GUI widgets, animations, multiple scenes, and reusable game logic. In the final chapter, you’ll bring it all together by building a fully functional video game that incorporates many of the OOP techniques and GUI elements covered in the book.
You’ll learn how to:

Create and manage multiple objects using an object manager object
Use encapsulation to hide the inner details of objects from client code
Use polymorphism to define one interface and implement it in multiple classes
Apply inheritance to build on existing code

Object-Oriented Python is a visual, intuitive guide to fully understanding how OOP operates and how you can use it to make your code more maintainable, readable, and efficient—without sacrificing functionality.
",Intermediate,0.71
Practical Deep Learning,Ronald T. Kneusel,2021,,"Look Inside!
   
Download Chapter 4: WORKING WITH DATA
You can find the book's code files and latest updates on GitHub. 
If you’ve been curious about artificial intelligence and machine learning but didn’t know where to start, this is the book you’ve been waiting for. Focusing on the subfield of machine learning known as deep learning, it explains core concepts and gives you the foundation you need to start building your own models. Rather than simply outlining recipes for using existing toolkits, Practical Deep Learning teaches you the why of deep learning and will inspire you to explore further.
All you need is basic familiarity with computer programming and high school math—the book will cover the rest. After an introduction to Python, you’ll move through key topics like how to build a good training dataset, work with the scikit-learn and Keras libraries, and evaluate your models’ performance.
You’ll also learn:

How to use classic machine learning models like k-Nearest Neighbors, Random Forests, and Support Vector Machines
How neural networks work and how they’re trained
How to use convolutional neural networks
How to develop a successful deep learning model from scratch

You’ll conduct experiments along the way, building to a final case study that incorporates everything you’ve learned. All of the code you’ll use is available here: https://github.com/rkneusel9/PracticalDeepLearningPython/
The perfect introduction to this dynamic, ever-expanding field, Practical Deep Learning will give you the skills and confidence to dive into your own machine learning projects.
",Beginner,0.65
Python Crash Course,Eric Matthes,2022,3rd Edition,"Read a Q&A with Eric Matthes
Download Chapter 2: VARIABLES AND SIMPLE DATA TYPES
Look Inside!
 
Python Crash Course is the world’s best-selling guide to the Python programming language. This fast-paced, thorough introduction will have you writing programs, solving problems, and developing functioning applications in no time.
You’ll start by learning basic programming concepts, such as variables, lists, classes, and loops, and practice writing clean code with exercises for each topic. You’ll also learn how to make your programs interactive and test your code safely before adding it to a project. You’ll put your new knowledge into practice by creating a Space Invaders–inspired arcade game, building a set of data visualizations with Python’s handy libraries, and deploying a simple application online.
As you work through the book, you’ll learn how to:

Use powerful Python libraries and tools, including pytest, Pygame, Matplotlib, Plotly, and Django
Make increasingly complex 2D games that respond to keypresses and mouse clicks
Generate interactive data visualizations using a variety of datasets
Build apps that allow users to create accounts and manage their own data, and deploy your apps online
Troubleshoot coding errors and solve common programming problems

New to this edition: This third edition is completely revised to reflect the latest in Python code. New and updated coverage includes VS Code for text editing, the pathlib module for file handling, pytest for testing your code, as well as the latest features of Matplotlib, Plotly, and Django.
If you’ve been thinking about digging into programming, Python Crash Course will provide you with the skills to write real programs fast. Why wait any longer? Start your engines and code!
 
",Beginner,0.68
Python Flash Cards,Eric Matthes,2019,,"
Look Inside!



Featured on ElectronicsWeekly.com.
Keep your coding skills sharp on the go! Python Flash Cards take a tried-and-tested method and give it a programming makeover. Eric Matthes, author of the best-selling Python Crash Course, distills essential Python programming knowledge into this 101-card deck you can use anywhere.
Work through the deck in order or shuffle it up for a new study session every time. You can brush up foundational programming principles and vocabulary like data structures, logical control, and program flow, quiz yourself on Python syntax, and test your skills against exercises and challenges designed to keep you on your toes — all in one sitting.
Don't let your Python training stop at the keyboard. With Python Flash Cards, the power of Python fits in your pocket.
",Beginner,0.64
